"meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
2.425,NA,10,2.45,NA,1,NA,4.4,1.12,0.132,NA,1612,53000,1,1,1,6,2,1,1,1,1,3500,NA,4500,0,30200,0,0
4.7,NA,20,8.3,NA,2,1,5.8,9.6,0.2,1.5,5016,82900,1,0,1,4.1,5,1,1,1,1,NA,NA,3674,0,42300,0,0
5.2,NA,10,2.7,NA,6,NA,2,2.8,NA,NA,2134,47000,1,0,0,0,5,1,1,1,1,NA,200,3700,0,0,0,0
3.6,NA,10,1,NA,1,NA,4.4,2.5,NA,NA,1730,35300,0,0,1,6,2,1,1,1,0,NA,100,2400,0,24000,0,0
4.7,NA,10,10.2,1,NA,1,6.5,1.3,0.295,NA,2754,56300,0,1,1,4.5,2,1,1,1,1,4000,NA,5000,500000,20300,0,0
2.575,1,NA,4.55,2.4,10,1.45,14.9,7.087,2.195,0.5,5238,66700,0,0,1,49,4,1,1,1,1,NA,1400,4336,0,51148.53,0,1
NA,NA,10,0.4,0.5,1.2,NA,0.8,0.7,NA,NA,910,30000,0,0,0,0,2,1,1,0,0,NA,NA,2268.84,0,0,0,0
1.525,0.9,NA,7.8,NA,0.4,NA,8.5,1,NA,NA,1811,42000,1,1,1,18,2,1,1,1,1,2000,435,7000,400000,17670,0,0
0.8,0.6,10,2.8,NA,2,NA,NA,0.2,NA,NA,872,13000,0,0,0,0,1,1,1,0,1,NA,NA,4500,18000,13000,0,0
1.5,NA,20,1.65,NA,0.3,NA,4,1.42,NA,NA,1163,36809,1,0,1,7.8,2,1,1,1,0,NA,140,2159,0,35939,0,0
1.525,NA,NA,0.486,NA,NA,NA,0.6,2,0.9,NA,766,55615,0,0,0,0,1,1,1,1,0,NA,1800,4000,0,27980,2200,0
1.5,1,10,3.25,NA,2,1,0.9,NA,NA,NA,1601,50000,1,1,1,10,3,1,1,1,1,3000,NA,5000,0,0,0,0
1.75,NA,20,1.65,NA,NA,NA,3,NA,0.19,NA,904,26091,0,0,0,0,1,1,1,1,0,NA,435,3000,0,25656,0,0
5,0.32,NA,1,NA,1,1,4.6,NA,0.036,NA,1634,54000,1,1,1,10,2,1,1,1,1,2500,NA,4300,0,0,0,0
6,NA,10,5.5,NA,1,1,7.5,2.1,NA,0.5,3200,22500,1,0,1,17,1,1,1,1,1,NA,5000,4000,0,21000,0,0
2.725,NA,10,4.55,NA,1.5,0.8,2.2,0.38,0.2,NA,1891,27000,0,1,1,7,2,1,1,1,1,3000,250,4000,200000,15000,0,0
2.4,NA,10,1.3,NA,1,0.8,1.95,0.3,NA,NA,1505,41000,1,0,0,0,4,1,1,1,1,NA,1000,5000,500000,0,0,0
5.98,1.745,NA,1.55,2.9,4,NA,3.72,0.42,2.19,NA,4157.96,114500,1,1,1,10,6,1,1,1,1,2000,100,7300,720000,16500,0,0
1.3,NA,60,1.5,NA,NA,NA,0.4,NA,NA,NA,659,63798,0,0,1,4.2,3,1,1,1,1,NA,1500,6000,0,25000,0,0
1.3,NA,10,3.4,1.3,0.5,NA,0.8,NA,NA,NA,1424,15000,0,0,0,0,1,1,1,1,1,NA,NA,4000,0,0,0,0
2,1,10,0.25,NA,1,NA,1.1,NA,1.5,NA,1184,28000,1,0,0,0,1,1,1,1,1,NA,NA,3500,200000,0,0,0
1.1,NA,10,4.3,NA,1,1,3.85,0.9,0.5,NA,1532,30100,0,0,1,6,1,1,1,1,1,NA,1500,4800,0,30100,0,0
1.5,NA,10,5.9,NA,2,1,2,2,1.18,NA,2265,36000,1,1,0,0,4,1,1,1,1,6000,NA,6000,0,0,0,0
