"","meat","fish","eggs","milk","vegetables","fruits_and_berries","cereals","flour","sweets","softdrinks","alcodrinks","sum_rub_buy","income","diplom","car","plot_bi","plot_size","famsize","water","sanitation","fridge","internet","pfuel","ptransp","phome","debt","govsubs","nongovsubs","inval"
"920",2.7,0.5,0,1.75,4.3,5,1,1.3,2.45,2,0,2937,47367,1,0,0,0,2,1,1,1,1,0,6000,2986,0,43089,0,1
"921",1.7,0.25,10,2,1,0.6,0.7,4.55,1,0.13,3,1964,26000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"922",4.4,0,10,1.3,3.6,4,0.7,6.56999999999999,2,0.12,1,4021,67522,1,1,1,12,3,1,1,1,1,3600,0,3960,0,37026,0,0
"923",1.6,0,0,2.5,0,1,0,0.5,0.6,0,0,840,16000,0,0,0,0,1,1,1,0,0,0,0,3500,0,16000,0,0
"924",2.5,0,20,0.5,2,1,0,1.3,1.35,0,0,985,62000,0,1,0,0,3,1,1,1,1,1000,0,6000,0,17000,0,0
"925",1.5,0,0,1.9,0,2,0.8,0.899999999999999,1,1.595,0,1730,85500,1,1,1,5.5,2,1,1,1,0,0,0,3500,0,55500,0,0
"926",2.5,0,0,2,0,2,1.6,0.6,2,1.56,0,1530,75000,1,1,1,6,5,1,1,1,1,600,250,5000,0,0,0,0
"927",0.5,0,10,1.4,1,1.5,0,0.85,0.8,0,0,813,28200,0,0,0,0,1,1,1,0,0,0,0,2300,0,29400,0,0
"928",3.6,0,0,0.3,3.5,1,0,1.65,0,1.6,2,1770,29200,0,0,0,0,2,1,1,0,0,0,500,3000,0,11200,0,0
"929",2.5,0,10,0.5,4,2,0,0.25,0.5,0,0,854,22500,0,0,0,0,1,1,1,0,1,0,200,2500,0,0,0,0
"930",16.4,0,0,10,0,3.5,0.8,14.25,6.7,0.2,0,10209,45600,1,1,1,24,6,1,1,1,1,3000,300,4500,0,5600,0,0
"931",0.35,0,0,0.2,3,0,0,0.45,1.4,0,0,398,13000,0,0,0,0,1,1,1,1,1,0,0,2500,0,0,0,0
"932",3.5,0,20,3.2,2,0,1,2.5,2,0.04,0,2325,19200,0,0,0,0,2,1,1,1,0,0,0,3000,0,19200,0,0
"933",9,0,20,6,3,0,0,7,6,0.06,0,6320,68000,1,1,1,8,3,1,1,1,0,1500,600,6000,0,43000,0,1
"934",2.3,1,30,2,14,2,0,2,6.2,0.5,3,3210,101000,1,1,1,22,4,1,1,1,1,5000,500,5000,300000,0,0,0
"935",2.05,0,0,1.6,2,0,0,0.45,0.35,0,0,706,20000,1,0,0,0,1,1,1,0,0,0,0,0,0,20000,0,1
"936",2.2,0,0,2,0,1,0,0.55,0.3,0,0,757,17000,0,0,1,8,1,1,1,1,0,0,0,4500,0,17000,0,0
"937",1,0,0,1.5,0,0,0.8,2.4,2,0,0,716,57000,0,0,1,9,2,1,1,1,0,0,0,0,0,42400,0,0
"938",1.5,0,0,1.6,0,2,0,0,1.5,1.05,0,1085,23000,0,0,0,0,1,1,1,1,1,0,200,2600,0,0,0,0
"939",3.95,0,0,1,6.8,1,0,1.05,0.5,0.095,2,1650,87800,1,0,0,0,3,1,1,1,1,0,300,4000,0,12800,0,0
"940",3.5,0,0,4,46,15.5,0,0.55,0.5,0.2,1,2990,70000,1,1,0,0,3,1,1,1,1,0,150,4000,0,0,0,0
"941",7.8,0,30,2,21,0,1,1.5,5,0.5,0,3324,109600,1,1,1,6,3,1,1,1,1,2000,2000,10000,150000,19600,0,0
"942",0,0,0,0,0,0,0,1.5,0,0,0,130,84000,0,1,0,0,2,1,1,0,1,2000,0,4000,0,18000,0,0
"943",1.8,0,10,2.3,0,1,0,2,1.7,0,2,1367,40000,0,0,0,0,2,1,1,1,1,0,1000,2000,0,0,0,0
"944",2.3,0,0,1.4,0,1.5,0,0.6,0,0,0,710,41600,0,1,0,0,3,1,1,1,0,0,0,3500,0,42850,0,1
"945",1,0,10,2.5,5,0,1,1,1.2,0,0,835,18000,0,0,0,0,1,1,1,1,0,0,0,5000,0,18000,0,0
"946",4.8,0,30,6.5,9,0,0,4,3,0,2,5200,140000,1,1,0,0,7,1,1,1,0,1500,0,8000,0,10000,0,0
"947",1.5,0,10,0.45,2,10,0,1.2,0.2,0,0,607,42600,1,1,1,8.8,2,1,1,1,1,0,200,2248,0,39600,0,1
